Isolate	Karyon	Depth	Variance
1485	Homokaryon	10	0.015952387
1485	Homokaryon	20	0.01379904
1485	Homokaryon	30	0.011175414
1485	Homokaryon	40	0.009503801
1485	Homokaryon	50	0.008416058
1486	Homokaryon	10	0.015810258
1486	Homokaryon	20	0.013850194
1486	Homokaryon	30	0.011495976
1486	Homokaryon	40	0.00953344
1486	Homokaryon	50	0.008584338
1486	Homokaryon	60	0.007941694
1486	Homokaryon	70	0.007371187
622b	Heterokaryon	10	0.021464761
622b	Heterokaryon	20	0.027850193
622b	Heterokaryon	30	0.029678777
622b	Heterokaryon	40	0.030722584
622b	Heterokaryon	50	0.031404605
622b	Heterokaryon	60	0.031690283
622b	Heterokaryon	70	0.032077161
622b	Heterokaryon	80	0.032327025
P24	Heterokaryon	10	0.02025606
P24	Heterokaryon	20	0.0269679
P24	Heterokaryon	30	0.029331282
P24	Heterokaryon	40	0.030711424
P24	Heterokaryon	50	0.031419304
P24	Heterokaryon	60	0.031846416
P24	Heterokaryon	70	0.032283132
P24	Heterokaryon	80	0.032616544
P24	Heterokaryon	90	0.032919073
P24	Heterokaryon	100	0.033198509
SF5	Homokaryon	10	0.015912781
SF5	Homokaryon	20	0.015369176
SF5	Homokaryon	30	0.013365192
SF5	Homokaryon	40	0.011851235
SF5	Homokaryon	50	0.010811133
SF5	Homokaryon	60	0.010108445
SF5	Homokaryon	70	0.009588953
SF5	Homokaryon	80	0.00921429
SF5	Homokaryon	90	0.008935684
SF5	Homokaryon	100	0.008720001
1017	Heterokaryon	10	0.022026661
1017	Heterokaryon	20	0.028788212
1017	Heterokaryon	30	0.030211569
1017	Heterokaryon	40	0.030619967
1017	Heterokaryon	50	0.030652139
1017	Heterokaryon	60	0.030429387
1017	Heterokaryon	70	0.030189953
1017	Heterokaryon	80	0.029992764
1181	Heterokaryon	10	0.021255752
1181	Heterokaryon	20	0.027141986
1181	Heterokaryon	30	0.028476326
1181	Heterokaryon	40	0.029026159
1181	Heterokaryon	50	0.029216921
1181	Heterokaryon	60	0.029190124
1181	Heterokaryon	70	0.029174559
1181	Heterokaryon	80	0.029251642
1181	Heterokaryon	90	0.029318071
1181	Heterokaryon	100	0.029283706
1365	Homokaryon	10	0.016396246
1365	Homokaryon	20	0.014735609
1365	Homokaryon	30	0.012086838
1365	Homokaryon	40	0.010410325
1365	Homokaryon	50	0.009370506
1365	Homokaryon	60	0.008653898
1412	Homokaryon	10	0.017033154
1412	Homokaryon	20	0.014490949
1412	Homokaryon	30	0.011684336
1412	Homokaryon	40	0.010120159
1412	Homokaryon	50	0.009109074
1428	Heterokaryon	10	0.023134804
1428	Heterokaryon	20	0.028678673
1428	Heterokaryon	30	0.030226329
1428	Heterokaryon	40	0.030851898
1428	Heterokaryon	50	0.031081578
1428	Heterokaryon	60	0.031173888
1474fil	Heterokaryon	10	0.021340948
1474fil	Heterokaryon	20	0.027385957
1474fil	Heterokaryon	30	0.028896543
1474fil	Heterokaryon	40	0.029489566
1474	Heterokaryon	10	0.021869273
1474	Heterokaryon	20	0.028384419
1474	Heterokaryon	30	0.030015782
1474	Heterokaryon	40	0.030556285
1474	Heterokaryon	50	0.030707402
1474	Heterokaryon	60	0.030640428
1474	Heterokaryon	70	0.030611342
1474	Heterokaryon	80	0.030591366
1549	Homokaryon	10	0.015681017
1549	Homokaryon	20	0.01376912
1549	Homokaryon	30	0.011258928
1549	Homokaryon	40	0.009706198
1549	Homokaryon	50	0.008662846
1549	Homokaryon	60	0.007889289
1549	Homokaryon	70	0.00743402
1549	Homokaryon	80	0.007077822
1549	Homokaryon	90	0.00670768
1689	Heterokaryon	10	0.019697517
1689	Heterokaryon	20	0.022258201
1689	Heterokaryon	30	0.021814715
1689	Heterokaryon	40	0.020901
1689	Heterokaryon	50	0.020189124
1764	Homokaryon	10	0.01609854
1764	Homokaryon	20	0.014037896
1764	Homokaryon	30	0.011534877
1764	Homokaryon	40	0.009845405
1764	Homokaryon	50	0.008594398
1806	Heterokaryon	10	0.020158287
1806	Heterokaryon	20	0.023597391
1806	Heterokaryon	30	0.023564032
1806	Heterokaryon	40	0.023228839
1825	Homokaryon	10	0.015891186
1825	Homokaryon	20	0.013666326
1825	Homokaryon	30	0.01110511
1825	Homokaryon	40	0.009430891
1825	Homokaryon	50	0.008369397
1834	Homokaryon	10	0.015930631
1834	Homokaryon	20	0.013796705
1834	Homokaryon	30	0.011264295
1834	Homokaryon	40	0.00959459
1834	Homokaryon	50	0.008504403
1834	Homokaryon	60	0.007907267
BL14	Heterokaryon	10	0.021592334
BL14	Heterokaryon	20	0.02795376
BL14	Heterokaryon	30	0.029817156
BL14	Heterokaryon	40	0.030861202
BL14	Heterokaryon	50	0.031477098
BL14	Heterokaryon	60	0.031773032
BL15	Homokaryon	10	0.015980684
BL15	Homokaryon	20	0.013577383
BL15	Homokaryon	30	0.011047944
BL15	Homokaryon	40	0.009358486
BL19	Heterokaryon	10	0.021045442
BL19	Heterokaryon	20	0.027079319
BL19	Heterokaryon	30	0.028722981
BL19	Heterokaryon	40	0.029735137
BL19	Heterokaryon	50	0.030286339
BL19	Heterokaryon	60	0.030623993
BL1	Heterokaryon	10	0.021701623
BL1	Heterokaryon	20	0.027732327
BL1	Heterokaryon	30	0.029065853
BL1	Heterokaryon	40	0.029429992
BL1	Heterokaryon	50	0.029410548
BL1	Heterokaryon	60	0.02926192
BL1	Heterokaryon	70	0.029086049
BL20	Heterokaryon	10	0.022592368
BL20	Heterokaryon	20	0.026326265
BL20	Heterokaryon	30	0.027424911
BL20	Heterokaryon	40	0.02797106
BL31	Heterokaryon	10	0.021488216
BL31	Heterokaryon	20	0.026549165
BL31	Heterokaryon	30	0.027414572
BL31	Heterokaryon	40	0.027569032
BL33	Homokaryon	10	0.015923731
BL33	Homokaryon	20	0.014312496
BL33	Homokaryon	30	0.011832378
BL33	Homokaryon	40	0.010236736
BL33	Homokaryon	50	0.009126538
BL33	Homokaryon	60	0.008368603
BL34	Heterokaryon	10	0.02117838
BL34	Heterokaryon	20	0.027470058
BL34	Heterokaryon	30	0.029556184
BL34	Heterokaryon	40	0.030690953
BL34	Heterokaryon	50	0.031305683
C83M40	Heterokaryon	10	0.021238495
C83M40	Heterokaryon	20	0.026819833
C83M40	Heterokaryon	30	0.028139532
C83M40	Heterokaryon	40	0.028763003
C83M42	Heterokaryon	10	0.021485879
C83M42	Heterokaryon	20	0.027366341
C83M42	Heterokaryon	30	0.028723158
C83M42	Heterokaryon	40	0.029536841
C83M42	Heterokaryon	50	0.029961281
C83M42	Heterokaryon	60	0.030216036
C83M42	Heterokaryon	70	0.030426025
C90D33	Heterokaryon	10	0.021480871
C90D33	Heterokaryon	20	0.027261101
C90D33	Heterokaryon	30	0.028404236
C90D33	Heterokaryon	40	0.028679297
C90D33	Heterokaryon	50	0.028548826
C90D55	Homokaryon	10	0.016156026
C90D55	Homokaryon	20	0.014166974
C90D55	Homokaryon	30	0.011814406
C90D55	Homokaryon	40	0.010204069

